Description,Costs,Location,MaxStudents,MeetingPoint,MinStudents,Title,TeacherId,VisibleForStudents
luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus,30.64,Gina,19,Agimba,6,Tempsoft,14,1
vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet,28.86,Michigan,10,Feedfire,4,Sonair,2,1
accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum,18.39,David,18,Babblestorm,3,Bitchip,4,1
sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis,3.65,Corry,20,Abatz,5,Ronstring,9,1
posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc,0.11,Pepper Wood,18,Gigashots,5,Temp,6,1
cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum,16.2,Randy,10,Linkbridge,3,Biodex,14,1
libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur,18.88,Clyde Gallagher,11,Yambee,4,Overhold,16,1
consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas,8.46,Lerdahl,11,Mybuzz,4,Zamit,18,1
vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio,44.81,Fairfield,18,Kwideo,4,Bigtax,2,1
nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet,32.43,Cascade,19,Meevee,6,Voltsillam,9,1
adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices,42.55,Loftsgordon,14,Devpoint,4,Biodex,2,1
habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum,4.5,Farmco,19,Aimbo,6,Holdlamis,20,1
condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est,8.67,Farragut,14,Thoughtsphere,4,Daltfresh,19,1
suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis,2.99,Orin,10,Eire,3,Flexidy,2,1
vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus,4.96,Bunker Hill,20,Kanoodle,6,Flexidy,12,1
Dieser Kurs ist eine Freistellung Ã¼ber alle Tage,0,Schule,500,Nirgendwo,0,Freistellung,42,0